記事	きじ	kiji
公表	こうひょう	kouhyou
代表	だいひょう	daihyou
表明	ひょうめい	hyoumei
同様	どうよう	douyou
相当	そうとう	soutou
駅名	えきめい	ekimei
反対	はんたい	hanntai
人物	じんぶつ	jinnbutsu
家庭	かてい	katei
他人	たにん|ひと|びと	taninn|hito|bito
学習	がくしゅう	gakushuu
歯科	しか	shika
医者	いしゃ	isha
感心	かんしん	kannshinn
第一	だいいち	daiichi
配送	はいそう	haisou
出品	しゅっぴん	shuppinn
作業	さぎょう	sagyou
公式	こうしき	koushiki
出発	しゅっぱつ	shuppatsu
上部	じょうぶ	joubu
運転	うんてん	unntenn
事業	じぎょう	jigyou
図表	ずひょう	zuhyou
取引	とりひき	torihiki
理想	りそう	risou
表記	ひょうき	hyouki
目安	めやす	meyasu
身体	からだ|しんたい	karada|shinntai
去年	きょねん|こぞ	kyonenn|kozo
意外	いがい	igai
今度	こんど	konndo
太陽	たいよう	taiyou
休業	きゅうぎょう	kyuugyou
外部	がいぶ	gaibu
入荷	にゅうか	nyuuka
文化	ぶんか	bunnka
交流	こうりゅう	kouryuu
自動	じどう	jidou
発明	はつめい	hatsumei
由来	ゆらい	yurai
所有	しょゆう	shoyuu
悪化	あっか	akka
全文	ぜんぶん	zennbunn
期間	きかん	kikann
身近	みぢか|みじか	midika|mijika
面白	おもしろ	omoshiro
予感	よかん	yokann
当院	とういん	touinn
体調	たいちょう	taityou
入院	にゅういん	nyuuinn
銀行	ぎんこう	ginnkou
運用	うんよう	unnyou
目次	もくじ	mokuji
予算	よさん	yosann
定着	ていちゃく	teityaku
追記	ついき	tsuiki
進行	しんこう	shinnkou
中身	なかみ	nakami
相場	そうば	souba
平和	へいわ	heiwa
決意	けつい	ketsui
動作	どうさ	dousa
美人	びじん|めいれん	bijinn|meirenn
業界	ぎょうかい	gyoukai
進化	しんか	shinnka
次第	しだい	shidai
短期	たんき	tannki
見事	みごと	migoto
神社	じんじゃ|かむやしろ	jinnja|kamuyashiro
手帳	てちょう	tetyou
物語	ものがたり|ものがた	monogatari|monogata
方向	ほうこう	houkou
形式	けいしき	keishiki
小物	こもの	komono
世話	せわ|ぜわ	sewa|zewa
実家	じっか	jikka
運行	うんこう	unnkou
直面	ちょくめん	tyokumenn
投入	とうにゅう	tounyuu
重点	じゅうてん	juutenn
活発	かっぱつ	kappatsu
主体	しゅたい	shutai
文具	ぶんぐ	bunngu
作者	さくしゃ	sakusha
起算	きさん	kisann
配合	はいごう	haigou
和食	わしょく	washoku
主流	しゅりゅう	shuryuu
空港	くうこう	kuukou
開放	かいほう	kaihou
意向	いこう	ikou
進学	しんがく	shinngaku
転用	てんよう	tennyou
全力	ぜんりょく	zennryoku
発足	はっそく|ほっそく	hassoku|hossoku
何事	なにごと	nanigoto
買取	かいとり|かいと	kaitori|kaito
合意	ごうい	goui
進出	しんしゅつ	shinnshutsu
定番	ていばん	teibann
着物	きもの	kimono
生息	せいそく	seisoku
動物	どうぶつ	doubutsu
荷物	にもつ	nimotsu
工具	こうぐ	kougu
漢字	かんじ	kannji
高速	こうそく	kousoku
薬局	やっきょく	yakkyoku
生命	いのち|せいめい	inochi|seimei
集計	しゅうけい	shuukei
手配	てはい	tehai
起動	きどう	kidou
工事	こうじ	kouji
文庫	ぶんこ	bunnko
家具	かぐ	kagu
開業	かいぎょう	kaigyou
定員	ていいん	teiinn
飲食	いんしょく|おんじき	innshoku|onnjiki
平日	へいじつ	heijitsu
気配	けはい|きはい	kehai|kihai
回転	かいてん	kaitenn
仕様	しよう	shiyou
体感	たいかん	taikann
運命	うんめい	unnmei
屋根	やね	yane
区分	くぶん|くわけ	kubunn|kuwake
真実	しんじつ	shinnjitsu
意図	いと	ito
番号	ばんごう	banngou
医学	いがく|いがっ	igaku|igaxtu
命名	めいめい	meimei
息子	むすこ	musuko
転送	てんそう	tennsou
行使	こうし	koushi
意思	いし	ishi
場面	ばめん	bamenn
何者	なにもの	nanimono
所持	しょじ	shoji
服用	ふくよう	fukuyou
正式	せいしき	seishiki
悲鳴	ひめい	himei
買物	かいもの	kaimono
着用	ちゃくよう	tyakuyou
合流	ごうりゅう	gouryuu
着手	ちゃくしゅ	tyakushu
本屋	ほんや	honnya
流行	りゅうこう|はやり|はや|ばやり	ryuukou|hayari|haya|bayari
商談	しょうだん	shoudann
実物	じつぶつ|みもの	jitsubutsu|mimono
実力	じつりょく	jitsuryoku
動向	どうこう	doukou
館内	かんない	kannnai
代金	だいきん	daikinn
手軽	てがる	tegaru
名所	めいしょ|などころ	meisho|nadokoro
早速	さっそく	sassoku
気温	きおん	kionn
勝負	かちまけ|しょうぶ	kachimake|shoubu
前面	ぜんめん	zennmenn
部員	ぶいん	buinn
食感	しょっかん	shokkann
全角	ぜんかく	zennkaku
客室	きゃくしつ	kyakushitsu
自負	じふ	jifu
業者	ぎょうしゃ	gyousha
和書	わしょ	washo
運動	うんどう	unndou
返金	へんきん	hennkinn
平気	へいき	heiki
天使	てんし	tennshi
電化	でんか	dennka
多発	たはつ	tahatsu
急速	きゅうそく	kyuusoku
用事	ようじ	youji
調和	ちょうわ	tyouwa
事由	じゆう	jiyuu
流通	りゅうつう|るずう	ryuutsuu|ruzuu
指名	しめい	shimei
新品	しんぴん	shinnpinn
重大	じゅうだい	juudai
中央	ちゅうおう	tyuuou
表紙	ひょうし|びょうし	hyoushi|byoushi
広島	ひろしま	hiroshima
味方	みかた	mikata
親身	しんみ	shinnmi
具合	ぐあい|ぐわい	guai|guwai
起用	きよう	kiyou
都内	とない	tonai
道路	どうろ	douro
世代	せだい	sedai
野球	やきゅう	yakyuu
毎度	まいど	maido
県内	けんない	kennnai
返答	へんとう	henntou
短大	たんだい	tanndai
多様	たよう	tayou
問屋	といや|とんや|どんや|どいや	toiya|tonnya|donnya|doiya
何物	なにもの	nanimono
内定	ないてい	naitei
両立	りょうりつ	ryouritsu
行列	ぎょうれつ	gyouretsu
列車	れっしゃ	ressha
放出	ほうしゅつ	houshutsu
役目	やくめ	yakume
悪口	あっこう|わるくち|わるぐち	akkou|warukuchi|waruguchi
都市	とし|まち	toshi|machi
算定	さんてい	sanntei
世間	せけん	sekenn
米屋	こめや	komeya
間取	まどり	madori
全員	ぜんいん	zenninn
物流	ぶつりゅう	butsuryuu
発想	はっそう	hassou
代行	だいこう	daikou
開花	かいか	kaika
発動	はつどう	hatsudou
書式	しょしき	shoshiki
着目	ちゃくもく	tyakumoku
植物	しょくぶつ	shokubutsu
年配	ねんぱい	nennpai
楽曲	がっきょく	gakkyoku
両手	もろて|りょうて	morote|ryoute
行事	ぎょうじ	gyouji
鉄道	てつどう	tetsudou
思想	しそう	shisou
頭皮	とうひ	touhi
決勝	けっしょう	kesshou
登山	とざん	tozann
神様	かみさま	kamisama
風味	ふうみ	fuumi
心身	しんしん	shinnshinn
発注	はっちゅう	hattyuu
幸福	こうふく	koufuku
所定	しょてい	shotei
開通	かいつう	kaitsuu
真夏	まなつ	manatsu
直送	ちょくそう	tyokusou
道具	どうぐ	dougu
出題	しゅつだい	shutsudai
様相	ようそう	yousou
下落	げらく	geraku
整体	せいたい	seitai
追放	ついほう	tsuihou
終始	しゅうし	shuushi
流出	りゅうしゅつ|ながれで	ryuushutsu|nagarede
分身	ぶんしん	bunnshinn
高度	こうど	koudo
本物	ほんもの	honnmono
対立	たいりつ	tairitsu
王様	おうさま	ousama
役員	やくいん	yakuinn
定食	ていしょく	teishoku
作曲	さっきょく	sakkyoku
集合	しゅうごう	shuugou
図面	ずめん	zumenn
主役	しゅやく	shuyaku
委員	いいん	iinn
部落	ぶらく	buraku
死去	しきょ	shikyo
正面	しょうめん|せいめん	shoumenn|seimenn
食育	しょくいく	shokuiku
近代	きんだい	kinndai
帰路	きろ	kiro
横目	よこめ	yokome
進歩	しんぽ	shinnpo
都会	とかい	tokai
県外	けんがい	kenngai
調理	ちょうり	tyouri
身長	しんちょう	shinntyou
整形	せいけい	seikei
進路	しんろ	shinnro
学者	がくしゃ	gakusha
受理	じゅり	juri
高級	こうきゅう	koukyuu
決心	けっしん	kesshinn
死者	ししゃ	shisha
乗車	じょうしゃ	jousha
首相	しゅしょう	shushou
同等	どうとう	doutou
申出	もうしで	moushide
起点	きてん	kitenn
両方	りょうほう	ryouhou
投下	とうか	touka
深夜	しんや	shinnya
社員	しゃいん	shainn
反発	はんぱつ	hannpatsu
主人	しゅじん	shujinn
駅近	えきちか	ekichika
題名	だいめい	daimei
使命	しめい	shimei
長期	ちょうき	tyouki
後者	こうしゃ	kousha
店員	てんいん	tenninn
表面	ひょうめん	hyoumenn
角度	かくど	kakudo
農業	のうぎょう	nougyou
作動	さどう	sadou
寺院	じいん	jiinn
農家	のうか	nouka
着実	ちゃくじつ	tyakujitsu
記者	きしゃ	kisha
和風	わふう	wafuu
横行	おうこう	oukou
紙面	しめん	shimenn
陽気	ようき	youki
来院	らいいん	raiinn
毛皮	けがわ	kegawa
暑中	しょちゅう	shotyuu
来館	らいかん	raikann
洋食	ようしょく	youshoku
飲酒	いんしゅ|おんじゅ	innshu|onnju
商売	しょうばい	shoubai
人事	じんじ|ひとごと	jinnji|hitogoto
全身	ぜんしん	zennshinn
会談	かいだん	kaidann
真相	しんそう	shinnsou
負荷	ふか	fuka
古代	こだい	kodai
白銀	しろがね|はくぎん	shirogane|hakuginn
方式	ほうしき	houshiki
時事	じじ	jiji
書面	しょめん	shomenn
主題	しゅだい	shudai
両親	りょうしん	ryoushinn
血行	けっこう	kekkou
洋服	ようふく	youfuku
虫歯	むしば	mushiba
助長	じょちょう	jotyou
仕業	しわざ|しぎょう	shiwaza|shigyou
旅先	たびさき	tabisaki
運送	うんそう	unnsou
院内	いんない	innnai
女神	めがみ|じょしん|にょしん	megami|joshinn|nyoshinn
皮肉	ひにく	hiniku
体重	たいじゅう	taijuu
幸運	こううん	kouunn
電波	でんぱ	dennpa
後世	こうせい|ごせ	kousei|gose
流用	りゅうよう	ryuuyou
出身	しゅっしん	shusshinn
定年	ていねん	teinenn
集客	しゅうきゃく	shuukyaku
地面	じめん	jimenn
決着	けっちゃく	kettyaku
大豆	だいず	daizu
和洋	わよう	wayou
美白	びはく	bihaku
他店	たてん	tatenn
物事	ものごと	monogoto
新緑	しんりょく	shinnryoku
切開	せっかい|きりひらけ	sekkai|kirihirake
身軽	みがる	migaru
有用	ゆうよう	yuuyou
神話	しんわ	shinnwa
決算	けっさん	kessann
生業	せいぎょう|なりわい|すぎわい	seigyou|nariwai|sugiwai
花屋	はなや	hanaya
家主	やぬし|いえぬし|いえあるじ	yanushi|ienushi|iearuji
他社	たしゃ	tasha
注力	ちゅうりょく	tyuuryoku
美味	びみ|うま	bimi|uma
悪用	あくよう	akuyou
起業	きぎょう	kigyou
全集	ぜんしゅう	zennshuu
転落	てんらく|ころげおち	tennraku|korogeochi
流石	さすが	sasuga
前号	ぜんごう	zenngou
洋画	ようが	youga
学区	がっく	gakku
他者	たしゃ	tasha
全室	ぜんしつ	zennshitsu
口調	くちょう	kutyou
注入	ちゅうにゅう	tyuunyuu
物心	ぶっしん|ものごころ	busshinn|monogokoro
死体	したい	shitai
当館	とうかん	toukann
同表	どうひょう	douhyou
地酒	じざけ	jizake
水着	みずぎ	mizugi
足湯	あしゆ	ashiyu
神道	しんとう	shinntou
女医	じょい	joi
生育	せいいく	seiiku
転校	てんこう	tennkou
本業	ほんぎょう	honngyou
動員	どういん	douinn
農薬	のうやく	nouyaku
名物	めいぶつ	meibutsu
全面	ぜんめん	zennmenn
店主	てんしゅ	tennshu
都心	としん	toshinn
登記	とうき	touki
直感	ちょっかん	tyokkann
意地	いじ	iji
住人	じゅうにん	juuninn
出庫	しゅっこ	shukko
物色	ぶっしょく	busshoku
取消	とりけし	torikeshi
洋楽	ようがく	yougaku
島根	しまね|しまね	shimane|shimane
放流	ほうりゅう	houryuu
入所	にゅうしょ	nyuusho
通院	つういん	tsuuinn
部活	ぶかつ	bukatsu
発音	はつおん	hatsuonn
曲名	きょくめい	kyokumei
早急	さっきゅう|そうきゅう	sakkyuu|soukyuu
助言	じょげん|じょごん	jogenn|jogonn
開店	かいてん	kaitenn
感化	かんか	kannka
丁目	ちょうめ	tyoume
部門	ぶもん	bumonn
知事	ちじ	chiji
温度	おんど	onndo
生物	せいぶつ|なまもの|いきもの	seibutsu|namamono|ikimono
本題	ほんだい	honndai
有力	ゆうりょく	yuuryoku
全開	ぜんかい	zennkai
車両	しゃりょう	sharyou
天神	てんじん|てんしん	tennjinn|tennshinn
地区	ちく	chiku
坂道	さかみち	sakamichi
年表	ねんぴょう	nennpyou
消化	しょうか	shouka
病名	びょうめい	byoumei
打開	だかい	dakai
受取	うけとり|うけと	uketori|uketo
北部	ほくぶ	hokubu
平行	へいこう	heikou
前進	ぜんしん	zennshinn
下着	したぎ	shitagi
放題	ほうだい	houdai
港区	こうく	kouku
学部	がくぶ	gakubu
子宮	しきゅう	shikyuu
都度	つど	tsudo
筆者	ひっしゃ	hissha
真心	まごころ	magokoro
物理	ぶつり	butsuri
長所	ちょうしょ	tyousho
前者	ぜんしゃ	zennsha
想起	そうき	souki
魚屋	さかなや	sakanaya
代用	だいよう	daiyou
上品	じょうひん|じょうぼん	jouhinn|joubonn
代引	だいびき	daibiki
対決	たいけつ	taiketsu
駅前	えきまえ	ekimae
落下	らっか	rakka
部品	ぶひん	buhinn
開運	かいうん	kaiunn
同号	どうごう	dougou
洋書	ようしょ	yousho
通路	つうろ|かよいじ	tsuuro|kayoiji
家事	かじ	kaji
両者	りょうしゃ	ryousha
速読	そくどく	sokudoku
消去	しょうきょ|きえさ	shoukyo|kiesa
教員	きょういん	kyouinn
等級	とうきゅう	toukyuu
会館	かいかん	kaikann
式場	しきじょう	shikijou
火事	かじ	kaji
開局	かいきょく	kaikyoku
反転	はんてん	hanntenn
旅宿	りょしゅく	ryoshuku
出動	しゅつどう	shutsudou
台所	だいどころ	daidokoro
流入	りゅうにゅう	ryuunyuu
本館	ほんかん	honnkann
酒屋	さかや|ざかや	sakaya|zakaya
転売	てんばい	tennbai
下部	かぶ	kabu
悪意	あくい	akui
前身	ぜんしん	zennshinn
対話	たいわ	taiwa
住戸	じゅうこ	juuko
全品	ぜんぴん	zennpinn
同期	どうき	douki
対談	たいだん	taidann
開館	かいかん	kaikann
部下	ぶか	buka
商業	しょうぎょう	shougyou
宿場	しゅくば	shukuba
体育	たいいく	taiiku
同乗	どうじょう	doujou
実用	じつよう	jitsuyou
起立	きりつ	kiritsu
名曲	めいきょく	meikyoku
化学	かがく|かがっ|ばけがく	kagaku|kagaxtu|bakegaku
受注	じゅちゅう	jutyuu
内部	ないぶ	naibu
見物	けんぶつ|みもの	kennbutsu|mimono
前世	ぜんせ|ぜんせい	zennse|zennsei
予期	よき	yoki
空想	くうそう	kuusou
中部	ちゅうぶ	tyuubu
予言	よげん	yogenn
対面	たいめん|だいめん	taimenn|daimenn
取組	とりくみ|とりくめ	torikumi|torikume
細部	さいぶ	saibu
様式	ようしき	youshiki
集会	しゅうかい	shuukai
命中	めいちゅう	meityuu
開会	かいかい	kaikai
発育	はついく	hatsuiku
年代	ねんだい	nenndai
院長	いんちょう	inntyou
決行	けっこう	kekkou
感服	かんぷく	kannpuku
上表	じょうひょう	jouhyou
有事	ゆうじ	yuuji
当面	とうめん	toumenn
美女	びじょ	bijo
意表	いひょう	ihyou
他界	たかい	takai
親指	おやゆび	oyayubi
漢方	かんぽう	kannpou
新調	しんちょう	shinntyou
身分	みぶん	mibunn
大根	おおね|だいこん	oone|daikonn
家屋	かおく	kaoku
年号	ねんごう	nenngou
商用	しょうよう	shouyou
合宿	がっしゅく	gasshuku
何様	なにさま	nanisama
血流	けつりゅう	ketsuryuu
名医	めいい	meii
列島	れっとう	rettou
交代	こうたい	koutai
風化	ふうか	fuuka
宿題	しゅくだい	shukudai
商社	しょうしゃ	shousha
転向	てんこう	tennkou
宿命	しゅくめい	shukumei
全米	ぜんべい	zennbei
祭事	さいじ	saiji
事後	じご	jigo
軽食	けいしょく	keishoku
返送	へんそう	hennsou
対等	たいとう	taitou
主食	しゅしょく	shushoku
配当	はいとう	haitou
感知	かんち	kannchi
早期	そうき	souki
後味	あとあじ	atoaji
東部	とうぶ	toubu
重箱	じゅうばこ	juubako
赤鼻	あかばな|あかはな	akabana|akahana
年度	ねんど	nenndo
詩人	しじん	shijinn
筆頭	ひっとう|ふでがしら	hittou|fudegashira
今号	こんごう	konngou
次号	じごう	jigou
主力	しゅりょく	shuryoku
後進	こうしん	koushinn
高配	こうはい	kouhai
実話	じつわ	jitsuwa
入歯	いれば	ireba
多幸	たこう	takou
速度	そくど	sokudo
転入	てんにゅう	tennnyuu
小屋	こや|ごや|しょうおく	koya|goya|shouoku
消息	しょうそく	shousoku
反日	はんにち	hannnichi
集落	しゅうらく	shuuraku
面談	めんだん	menndann
開校	かいこう	kaikou
市区	しく	shiku
悪者	わるもの	warumono
始発	しはつ	shihatsu
和室	わしつ	washitsu
気持	きもち	kimochi
交配	こうはい	kouhai
区間	くかん	kukann
直進	ちょくしん	tyokushinn
氷山	ひょうざん	hyouzann
新橋	しんばし	shinnbashi
言動	げんどう	genndou
薬事	やくじ	yakuji
売主	うりぬし	urinushi
本意	ほんい	honni
口実	こうじつ	koujitsu
他県	たけん	takenn
学院	がくいん	gakuinn
和式	わしき	washiki
石油	せきゆ	sekiyu
先決	せんけつ	sennketsu
炭火	すみび	sumibi
同調	どうちょう	doutyou
代物	しろもの|だいぶつ|だいもつ	shiromono|daibutsu|daimotsu
反感	はんかん	hannkann
本部	ほんぶ	honnbu
下表	かひょう	kahyou
所見	しょけん	shokenn
苦言	くげん	kugenn
開場	かいじょう	kaijou
進入	しんにゅう	shinnnyuu
下味	したあじ	shitaaji
近世	きんせい	kinnsei
前期	ぜんき	zennki
市部	しぶ	shibu
命運	めいうん	meiunn
指数	しすう	shisuu
路上	ろじょう	rojou
高温	こうおん	kouonn
配列	はいれつ	hairetsu
待受	まちうけ	machiuke
乗船	じょうせん	jousenn
流星	ながれぼし|りゅうせい	nagareboshi|ryuusei
直筆	じきひつ|ちょくひつ	jikihitsu|tyokuhitsu
登校	とうこう	toukou
心血	しんけつ	shinnketsu
上流	じょうりゅう	jouryuu
鉄板	てっぱん	teppann
地味	じみ|ちみ	jimi|chimi
童話	どうわ	douwa
風習	ふうしゅう	fuushuu
答申	とうしん	toushinn
読物	よみもの	yomimono
着服	ちゃくふく	tyakufuku
方面	ほうめん	houmenn
発電	はつでん	hatsudenn
悪寒	おかん	okann
上着	うわぎ	uwagi
鳥取	とっとり	tottori
湯水	ゆみず	yumizu
死後	しご	shigo
悪気	わるぎ	warugi
理事	りじ	riji
始動	しどう	shidou
次男	じなん	jinann
行者	ぎょうじゃ	gyouja
化石	かせき	kaseki
表内	ひょうない	hyounai
酒場	さかば	sakaba
屋号	やごう	yagou
全戸	ぜんこ	zennko
公平	こうへい	kouhei
屋外	おくがい	okugai
落語	らくご	rakugo
緑色	みどりいろ|りょくしょく	midoriiro|ryokushoku
祭日	さいじつ	saijitsu
下宿	げしゅく	geshuku
発赤	はっせき|ほっせき	hasseki|hosseki
血相	けっそう	kessou
出向	しゅっこう|でむけ	shukkou|demuke
主文	しゅぶん	shubunn
用命	ようめい	youmei
金運	きんうん	kinnunn
薬用	やくよう	yakuyou
回想	かいそう	kaisou
薬草	やくそう	yakusou
知育	ちいく	chiiku
西部	せいぶ	seibu
医薬	いやく	iyaku
受章	じゅしょう	jushou
球場	きゅうじょう	kyuujou
区画	くかく	kukaku
発火	はっか	hakka
屋台	やたい	yatai
先代	せんだい	senndai
後期	こうき	kouki
着想	ちゃくそう	tyakusou
決死	けっし	kesshi
同化	どうか	douka
新宮	しんぐう|しんみや	shinnguu|shinnmiya
発毛	はつもう	hatsumou
品番	ひんばん|しなばん	hinnbann|shinabann
味見	あじみ	ajimi
発進	はっしん	hasshinn
死角	しかく	shikaku
配分	はいぶん	haibunn
指先	ゆびさき	yubisaki
緑茶	りょくちゃ	ryokutya
分配	ぶんぱい	bunnpai
古都	こと	koto
入港	にゅうこう	nyuukou
自他	じた	jita
予習	よしゅう	yoshuu
先物	さきもの	sakimono
有様	ありさま	arisama
鼻水	はなみず	hanamizu
昔話	むかしばなし	mukashibanashi
着工	ちゃっこう	tyakkou
重用	じゅうよう|ちょうよう|じゅいよう	juuyou|tyouyou|juiyou
県下	けんか	kennka
次代	じだい	jidai
行進	こうしん	koushinn
祭神	さいじん	saijinn
出世	しゅっせ	shusse
中世	ちゅうせい	tyuusei
歩調	ほちょう	hotyou
庭園	ていえん	teienn
名湯	めいとう	meitou
悪運	あくうん	akuunn
線路	せんろ	sennro
他方	たほう	tahou
羽根	はね|ばね	hane|bane
同定	どうてい	doutei
海岸	かいがん|うみぎし	kaigann|umigishi
発着	はっちゃく	hattyaku
平等	びょうどう	byoudou
庭木	にわき	niwaki
入部	にゅうぶ	nyuubu
死神	しにがみ	shinigami
電流	でんりゅう	dennryuu
品切	しなぎれ	shinagire
金員	きんいん	kinninn
暗号	あんごう	anngou
寒空	さむぞら	samuzora
使役	しえき	shieki
家路	いえじ	ieji
曲目	きょくもく	kyokumoku
親族	しんぞく	shinnzoku
屋内	おくない	okunai
東洋	とうよう	touyou
首都	しゅと	shuto
安住	あんじゅう	annjuu
書庫	しょこ	shoko
出血	しゅっけつ|でち	shukketsu|dechi
発車	はっしゃ	hassha
定期	ていき	teiki
死人	しにん|しびと	shininn|shibito
実習	じっしゅう	jisshuu
路地	ろじ	roji
急登	きゅうとう	kyuutou
談話	だんわ	dannwa
時流	じりゅう	jiryuu
氷風	ひょうふう	hyoufuu
期日	きじつ	kijitsu
調教	ちょうきょう	tyoukyou
茶葉	ちゃば	tyaba
薬指	くすりゆび	kusuriyubi
転写	てんしゃ	tennsha
次会	じかい	jikai
急落	きゅうらく	kyuuraku
生死	せいし|しょうし|しょうじ	seishi|shoushi|shouji
生身	なまみ	namami
洋風	ようふう	youfuu
歯肉	はにく	haniku
銀色	ぎんいろ|ぎんしょく	ginniro|ginnshoku
用具	ようぐ	yougu
面会	めんかい	mennkai
医科	いか	ika
育毛	いくもう	ikumou
定住	ていじゅう	teijuu
天命	てんめい	tennmei
対岸	たいがん	taigann
植林	しょくりん	shokurinn
苦虫	にがむし	nigamushi
男湯	おとこゆ	otokoyu
仕草	しぐさ	shigusa
植毛	しょくもう	shokumou
薬店	やくてん	yakutenn
重体	じゅうたい	juutai
世相	せそう	sesou
有数	ゆうすう	yuusuu
局面	きょくめん	kyokumenn
発出	はっしゅつ	hasshutsu
洋室	ようしつ	youshitsu
他国	たこく	takoku
丁度	ちょうど	tyoudo
夏期	かき	kaki
転記	てんき	tennki
中庭	なかにわ	nakaniwa
入庫	にゅうこ	nyuuko
飲茶	やむちゃ|いんさ	yamutya|innsa
着地	ちゃくち	tyakuchi
全駅	ぜんえき	zenneki
商店	しょうてん	shoutenn
西洋	せいよう	seiyou
放火	ほうか	houka
遊学	ゆうがく	yuugaku
農村	のうそん	nousonn
福北	ふくほく	fukuhoku
階数	かいすう	kaisuu
名勝	めいしょう	meishou
運気	うんき	unnki
和歌	わか	waka
整地	せいち	seichi
商号	しょうごう	shougou
目深	まぶか	mabuka
役所	やくしょ|やくどとろ|やくどころ	yakusho|yakudotoro|yakudokoro
急所	きゅうしょ	kyuusho
丁重	ていちょう	teityou
出鼻	でっぱな|でばな	deppana|debana
動転	どうてん	doutenn
表中	ひょうちゅう	hyoutyuu
農地	のうち	nouchi
身元	みもと	mimoto
島式	しましき	shimashiki
発光	はっこう	hakkou
美食	びしょく	bishoku
県名	けんめい	kennmei
湯船	ゆぶね	yubune
終売	しゅうばい	shuubai
横顔	よこがお	yokogao
酒店	さけてん|しゅてん	saketenn|shutenn
温湯	おんとう|ぬるゆ	onntou|nuruyu
仕入	しいれ	shiire
流水	りゅうすい	ryuusui
乗客	じょうきゃく	joukyaku
苦心	くしん	kushinn
弱者	じゃくしゃ	jakusha
登用	とうよう	touyou
列記	れっき	rekki
明暗	めいあん	meiann
品名	ひんめい	hinnmei
美男	びなん	binann
申立	もうしたて	moushitate
童心	どうしん	doushinn
神主	かんぬし	kannnushi
美化	びか	bika
進言	しんげん	shinngenn
乗用	じょうよう	jouyou
年式	ねんしき	nennshiki
空路	くうろ	kuuro
使う	つかう|つこう	tsukau|tsukou
感じ	かんじ	kannji
持つ	もつ	motsu
問い合わせ	といあわせ	toiawase
その他	そのた	sonota
受ける	うける	ukeru
悪い	わるい|わりい|わろい	warui|warii|waroi
取る	とる|どる	toru|doru
終わる	おわる	owaru
お客様	おきゃくさま	okyakusama
向け	むけ	muke
飲む	のむ	nomu
始め	はじめ	hajime
全て	すべて	subete
気持ち	きもち	kimochi
送る	おくる	okuru
面白い	おもしろい	omoshiroi
流れ	ながれ|ながれれ	nagare|nagarere
