入る	いる|はいる|いれる	iru|hairu|ireru
ぶら下げる	ぶらさげる	burasageru
先天	せんてん	senntenn
お目にかかる	おめにかかる	omenikakaru
月下	げっか	gekka
空っぽ	からっぽ	karappo
この上ない	このうえない	konouenai
正す	ただす	tadasu
足りる	たりる	tariru
赤み	あかみ	akami
下らない	くだらない	kudaranai
出入り口	でいりぐち	deiriguchi
手早い	てばやい	tebayai
立たす	たたす	tatasu
出入口	でいりぐち	deiriguchi
一年中	いちねんじゅう	ichinennjuu
気にいる	きにいる	kiniiru
お山	おやま	oyama
見ごたえ	みごたえ	migotae
早まる	はやまる	hayamaru
気がかり	きがかり	kigakari
子女	しじょ	shijo
青白い	あおじろい	aojiroi
見にくい	みにくい	minikui
立ちはだかる	たちはだかる	tachihadakaru
学名	がくめい	gakumei
一気	いっき	ikki
日本円	にほんえん	nihonnenn
生まれつき	うまれつき	umaretsuki
立ち入る	たちいる	tachiiru
目の下	めのした	menoshita
女中	じょちゅう	jotyuu
見づらい	みづらい	midurai
見出せる	みだせる|みいだせる	midaseru|miidaseru
竹の子	たけのこ	takenoko
出火	しゅっか	shukka
こみ上げる	こみあげる	komiageru
草むら	くさむら	kusamura
見あたる	みあたる	miataru
見やる	みやる	miyaru
お力	おちから	ochikara
町人	ちょうにん|まちびと	tyouninn|machibito
お目見え	おめみえ	omemie
赤子	あかご|せきし	akago|sekishi
女人	にょにん	nyoninn
六つ	むっつ|むつ	muttsu|mutsu
入校	にゅうこう	nyuukou
ひと月	ひとつき	hitotsuki
手下	てした|てか	teshita|teka
生やす	はやす	hayasu
人ごみ	ひとごみ	hitogomi
口先	くちさき	kuchisaki
夕立	ゆうだち	yuudachi
手ぶら	てぶら	tebura
女らしい	おんならしい	onnnarashii
人だかり	ひとだかり	hitodakari
右目	みぎめ	migime
左目	ひだりめ	hidarime
力む	りきむ	rikimu
生す	なす|むす	nasu|musu
中る	あたる	ataru
中火	ちゅうび	tyuubi
出金	しゅっきん	shukkinn
にじみ出る	にじみでる	nijimideru
口出し	くちだし	kuchidashi
はみ出る	はみでる	hamideru
休校	きゅうこう	kyuukou
糸口	いとぐち	itoguchi
でっち上げ	でっちあげ	decchiage
さらけ出す	さらけだす	sarakedasu
二十	にじゅう|にじっ|にじゅっ|はつ|はたち	nijuu|nijixtu|nijuxtu|hatsu|hatachi
三十	さんじゅう|さんじっ|さんじゅっ	sannjuu|sannjixtu|sannjuxtu
一本	いっぽん	ipponn
三人	さんにん	sannninn
五十	ごじゅう|ごじっ|ごじゅっ	gojuu|gojixtu|gojuxtu
四十	しじゅう|よんじゅう|しじっ|しじゅっ|よんじっ|よんじゅっ	shijuu|yonnjuu|shijixtu|shijuxtu|yonnjixtu|yonnjuxtu
三日	みっか	mikka
一人一人	ひとりひとり	hitorihitori
七十	しちじゅう|ななじゅう|しちじっ|しちじゅっ|ななじっ|ななじゅっ|ななそ	shichijuu|nanajuu|shichijixtu|shichijuxtu|nanajixtu|nanajuxtu|nanaso
二百	にひゃく|ふたひゃく|にひゃっ|ふたひゃっ	nihyaku|futahyaku|nihyaxtu|futahyaxtu
九十	きゅうじゅう|きゅうじっ|きゅうじゅっ	kyuujuu|kyuujixtu|kyuujuxtu
四人	よにん	yoninn
人中	ひとなか|じんちゅう|にんちゅう	hitonaka|jinntyuu|ninntyuu
二十四	にじゅうよん	nijuuyonn
五百	ごひゃく|ごひゃっ	gohyaku|gohyaxtu
右上	みぎうえ	migiue
二千	にせん	nisenn
五人	ごにん	goninn
右下	みぎした	migishita
月中	げっちゅう	gettyuu
八百	やお|はっぴゃく|はっぴゃっ	yao|happyaku|happyaxtu
九九	くく	kuku
五千	ごせん	gosenn
四百	よんひゃく|しひゃく|しひゃっ|よんひゃっ	yonnhyaku|shihyaku|shihyaxtu|yonnhyaxtu
一一	いちいち	ichiichi
学校名	がっこうめい	gakkoumei
一千	いっせん	issenn
二人目	ふたりめ	futarime
空気中	くうきちゅう	kuukityuu
五目	ごもく	gomoku
一名	いちめい	ichimei
大日本	だいにっぽん|だいにほん	dainipponn|dainihonn
一手	いって	itte
一字	いちじ	ichiji
四千	よんせん	yonnsenn
早目	はやめ	hayame
九六	くんろく	kunnroku
大先生	だいせんせい	daisennsei
四五	しご	shigo
大大	だいだい	daidai
出玉	でだま	dedama
六千	ろくせん	rokusenn
大学校	だいがっこう	daigakkou
二八	にっぱち|にはち	nippachi|nihachi
四大	しだい	shidai
先見	せんけん|さきみ	sennkenn|sakimi
三五	さんご	sanngo
