掲載	けいさい	keisai
社債	しゃさい	shasai
飽きる	あきる	akiru
大概	たいがい	taigai
排卵	はいらん	hairann
埋め立て	うめたて	umetate
阻む	はばむ	habamu
硬直	こうちょく	koutyoku
幼稚	ようち	youchi
盗聴	とうちょう	toutyou
争奪	そうだつ	soudatsu
緩む	ゆるむ	yurumu
葬祭	そうさい	sousai
飽和	ほうわ	houwa
同胞	どうほう|はらから	douhou|harakara
陳列	ちんれつ	chinnretsu
恐慌	きょうこう	kyoukou
破裂	はれつ	haretsu
お姫様	おひめさま	ohimesama
某所	ぼうしょ	bousho
鬼畜	きちく	kichiku
虚しい	むなしい	munashii
寿し	すし|ずし	sushi|zushi
車掌	しゃしょう	shashou
絞める	しめる	shimeru
引き締まる	ひきしまる	hikishimaru
埋蔵	まいぞう	maizou
合掌	がっしょう	gasshou
鎮痛	ちんつう	chinntsuu
同封	どうふう	doufuu
駐輪場	ちゅうりんじょう	tyuurinnjou
控える	ひかえる	hikaeru
網膜	もうまく	moumaku
付随	ふずい	fuzui
超越	ちょうえつ	tyouetsu
掛け軸	かけじく	kakejiku
錯誤	さくご	sakugo
帝王	ていおう	teiou
封鎖	ふうさ	fuusa
嫁ぐ	とつぐ	totsugu
企む	たくらむ	takuramu
抑圧	よくあつ	yokuatsu
南蛮	なんばん	nannbann
祭壇	さいだん	saidann
憂い	うい|うれい	ui|urei
慈悲	じひ	jihi
下請け	したうけ	shitauke
浮き彫り	うきぼり	ukibori
没頭	ぼっとう	bottou
潜り	もぐり|くぐり	moguri|kuguri
悔やむ	くやむ	kuyamu
封入	ふうにゅう	fuunyuu
魔界	まかい	makai
昇給	しょうきゅう	shoukyuu
骨髄	こつづい|こつずい	kotsudui|kotsuzui
潜む	ひそむ	hisomu
処遇	しょぐう	shoguu
搾取	さくしゅ|しぼりと	sakushu|shiborito
点滅	てんめつ	tennmetsu
間伐	かんばつ	kannbatsu
縫製	ほうせい	housei
隔て	へだて	hedate
緊迫	きんぱく	kinnpaku
取り締まり	とりしまり	torishimari
棄却	ききゃく	kikyaku
潜伏	せんぷく	sennpuku
託児	たくじ	takuji
惜しむ	おしむ	oshimu
締まる	しまる|じまる	shimaru|jimaru
締め付ける	しめつける	shimetsukeru
境遇	きょうぐう	kyouguu
揚げ物	あげもの	agemono
切削	せっさく	sessaku
勘案	かんあん	kannann
潤滑	じゅんかつ	junnkatsu
投棄	とうき|なげすて	touki|nagesute
腰掛け	こしかけ	koshikake
粗末	そまつ	somatsu
奉る	たてまつる|まつる	tatematsuru|matsuru
撮れる	とれる	toreru
随一	ずいいち	zuiichi
読了	どくりょう	dokuryou
添削	てんさく	tennsaku
掛け声	かけごえ	kakegoe
甲板	かんぱん|こうはん	kannpann|kouhann
残虐	ざんぎゃく	zanngyaku
薄膜	うすまく|はくまく	usumaku|hakumaku
模倣	もほう	mohou
切り裂く	きりさく	kirisaku
怪しげ	あやしげ	ayashige
邦画	ほうが	houga
惜しみ	おしみ	oshimi
焦げ	こげ	koge
可哀相	かわいそう	kawaisou
画廊	がろう	garou
被覆	ひふく	hifuku
膨れる	ふくれる|ぶくれる	fukureru|bukureru
緩め	ゆるめ	yurume
邪悪	じゃあく	jaaku
囲炉裏	いろり	irori
感慨	かんがい	kanngai
御免	ごめん	gomenn
鋳造	ちゅうぞう	tyuuzou
揺る	ゆる	yuru
架かる	かかる	kakaru
既成	きせい	kisei
一掃	いっそう	issou
裂ける	さける	sakeru
香辛料	こうしんりょう	koushinnryou
果敢	かかん	kakann
卓上	たくじょう	takujou
漂流	ひょうりゅう	hyouryuu
略奪	りゃくだつ	ryakudatsu
延伸	えんしん	ennshinn
揺さぶる	ゆさぶる	yusaburu
憎悪	ぞうお	zouo
聖霊	せいれい	seirei
難聴	なんちょう	nanntyou
審理	しんり	shinnri
騎馬	きば	kiba
陶磁器	とうじき	toujiki
冷凍庫	れいとうこ	reitouko
日没	にちぼつ	nichibotsu
没収	ぼっしゅう	bosshuu
辛抱	しんぼう	shinnbou
自虐	じぎゃく	jigyaku
怪奇	かいき	kaiki
握り締める	にぎりしめる	nigirishimeru
裂く	さく|ざく	saku|zaku
随筆	ずいひつ	zuihitsu
浪費	ろうひ	rouhi
昇降	しょうこう	shoukou
塗り替える	ぬりかえる	nurikaeru
口癖	くちぐせ	kuchiguse
概略	がいりゃく	gairyaku
藩士	はんし	hannshi
聴衆	ちょうしゅう	tyoushuu
架ける	かける|がける	kakeru|gakeru
交錯	こうさく	kousaku
回顧	かいこ	kaiko
棋士	きし	kishi
完封	かんぷう	kannpuu
自炊	じすい	jisui
撃墜	げきつい	gekitsui
仕掛ける	しかける	shikakeru
巧妙	こうみょう	koumyou
霊感	れいかん	reikann
超絶	ちょうぜつ	tyouzetsu
催促	さいそく|ざいそく	saisoku|zaisoku
赦す	ゆるす	yurusu
滅茶苦茶	めちゃくちゃ	metyakutya
角膜	かくまく	kakumaku
水没	すいぼつ	suibotsu
締め切る	しめきる	shimekiru
敢行	かんこう	kannkou
卓越	たくえつ	takuetsu
話し掛ける	はなしかける	hanashikakeru
引っ掛ける	ひっかける	hikkakeru
悪霊	あくりょう	akuryou
駐留	ちゅうりゅう	tyuuryuu
雪崩	なだれ	nadare
紙袋	かみぶくろ|かんぶくろ	kamibukuro|kannbukuro
漂白	ひょうはく	hyouhaku
凝固	ぎょうこ|こりかたま	gyouko|korikatama
落胆	らくたん	rakutann
概況	がいきょう	gaikyou
共謀	きょうぼう	kyoubou
鍛錬	たんれん	tannrenn
幻覚	げんかく	gennkaku
加湿	かしつ	kashitsu
組み換え	くみかえ	kumikae
音符	おんぷ	onnpu
零細	れいさい	reisai
多湿	たしつ	tashitsu
惜しくも	おしくも	oshikumo
起伏	きふく|おきふし	kifuku|okifushi
漏れる	もれる	moreru
委嘱	いしょく	ishoku
免職	めんしょく	mennshoku
陳述	ちんじゅつ	chinnjutsu
遺棄	いき	iki
老婆	ろうば	rouba
城郭	じょうかく	joukaku
歌姫	うたひめ	utahime
炊き込む	たきこむ	takikomu
携える	たずさえる	tazusaeru
束縛	そくばく	sokubaku
強奪	ごうだつ	goudatsu
粘り強い	ねばりづよい	nebariduyoi
火炎	かえん	kaenn
追随	ついずい	tsuizui
餓鬼	がき	gaki
埋没	まいぼつ	maibotsu
硬度	こうど	koudo
揺らぐ	ゆらぐ	yuragu
遅滞	ちたい	chitai
辛味	からみ	karami
足袋	たび	tabi
漏えい	ろうえい	rouei
引き裂く	ひきさく	hikisaku
新陳代謝	しんちんたいしゃ	shinnchinntaisha
強硬	きょうこう	kyoukou
移譲	いじょう	ijou
電卓	でんたく	denntaku
超す	こす	kosu
詠唱	えいしょう	eishou
虚構	きょこう	kyokou
自滅	じめつ	jimetsu
裸足	はだし	hadashi
昇華	しょうか	shouka
魔道	まどう	madou
取り締まる	とりしまる	torishimaru
虐める	いじめる	ijimeru
鼻炎	びえん	bienn
妨げる	さまたげる	samatageru
嘱託	しょくたく	shokutaku
昇り	のぼり	nobori
転嫁	てんか	tennka
殺伐	さつばつ	satsubatsu
引っ掛かる	ひっかかる	hikkakaru
掌握	しょうあく	shouaku
凝視	ぎょうし	gyoushi
忌避	きひ	kihi
戦没	せんぼつ	sennbotsu
雑炊	ぞうすい	zousui
紛らわしい	まぎらわしい	magirawashii
硬質	こうしつ	koushitsu
婆さん	ばあさん	baasann
油揚げ	あぶらあげ|あぶらげ	aburaage|aburage
検閲	けんえつ	kennetsu
廉価	れんか	rennka
排他	はいた	haita
不滅	ふめつ	fumetsu
幻影	げんえい	gennei
取り掛かる	とりかかる	torikakaru
真髄	しんずい	shinnzui
感慨深い	かんがいぶかい	kanngaibukai
催し物	もよおしもの	moyooshimono
本籍	ほんせき	honnseki
監獄	かんごく	kanngoku
請け負う	うけおう	ukeou
粗い	あらい	arai
緩衝	かんしょう	kannshou
炎天下	えんてんか	enntennka
催事	さいじ	saiji
掛け合い	かけあい	kakeai
言霊	ことだま	kotodama
滅ぶ	ほろぶ	horobu
締めくくる	しめくくる	shimekukuru
譲り受ける	ゆずりうける	yuzuriukeru
鎮守	ちんじゅ	chinnju
冷暖房	れいだんぼう	reidannbou
霊界	れいかい	reikai
延滞	えんたい	enntai
排ガス	はいがす	haigasu
伸ばせる	のばせる	nobaseru
皆既	かいき	kaiki
擁立	ようりつ	youritsu
凝り	こり|こごり|しこり	kori|kogori|shikori
転覆	てんぷく	tennpuku
卑劣	ひれつ	hiretsu
喚く	わめく|おめく	wameku|omeku
野蛮	やばん	yabann
顧みる	かえりみる	kaerimiru
締める	しめる|じめる	shimeru|jimeru
本邦	ほんぽう	honnpou
刑罰	けいばつ	keibatsu
必携	ひっけい	hikkei
取締り	とりしまり	torishimari
塩辛	しおから	shiokara
伸び悩む	のびなやむ	nobinayamu
潤う	うるおう	uruou
哀しみ	かなしみ	kanashimi
乗り換える	のりかえる	norikaeru
卸す	おろす	orosu
零れる	こぼれる	koboreru
追伸	ついしん	tsuishinn
免税	めんぜい	mennzei
謀略	ぼうりゃく	bouryaku
如何なる	いかなる	ikanaru
崩落	ほうらく|くずれおち	houraku|kuzureochi
欠乏	けつぼう	ketsubou
焦がす	こがす	kogasu
締めくくり	しめくくり	shimekukuri
補聴器	ほちょうき	hotyouki
姫君	ひめぎみ	himegimi
背伸び	せのび	senobi
甘辛い	あまからい|あまがらい	amakarai|amagarai
双方向	そうほうこう	souhoukou
硬式	こうしき	koushiki
一概に	いちがいに	ichigaini
胃袋	いぶくろ	ibukuro
亡霊	ぼうれい	bourei
騎兵	きへい	kihei
邪気	じゃき	jaki
換気扇	かんきせん	kannkisenn
餓死	うえじに|がし	uejini|gashi
怠慢	たいまん	taimann
抱き締める	だきしめる|いだきしめる	dakishimeru|idakishimeru
潤す	うるおす	uruosu
生憎	あいにく|あやにく	ainiku|ayaniku
錠剤	じょうざい	jouzai
婆ちゃん	ばあちゃん	baatyann
窒息	ちっそく	chissoku
減衰	げんすい	gennsui
鋳物	いもの	imono
