探す	さがす	sagasu
救済	きゅうさい	kyuusai
劇団	げきだん	gekidann
放射線	ほうしゃせん	houshasenn
大衆	たいしゅう|だいしゅ	taishuu|daishu
郵政	ゆうせい	yuusei
視覚	しかく	shikaku
遺族	いぞく	izoku
財源	ざいげん	zaigenn
私的	してき	shiteki
臨む	のぞむ	nozomu
圧縮	あっしゅく	asshuku
創設	そうせつ	sousetsu
収まる	おさまる	osamaru
裏切る	うらぎる	uragiru
座席	ざせき	zaseki
金銭	きんせん	kinnsenn
武装	ぶそう	busou
世論	せろん|よろん|せいろん	seronn|yoronn|seironn
補強	ほきょう	hokyou
総裁	そうさい	sousai
指針	ししん|ゆびばり	shishinn|yubibari
誤る	あやまる	ayamaru
支障	ししょう	shishou
悲劇	ひげき	higeki
就業	しゅうぎょう	shuugyou
取り除く	とりのぞく	torinozoku
公衆	こうしゅう	koushuu
納める	おさめる	osameru
洗い	あらい|すすい	arai|susui
宝石	ほうせき	houseki
発射	はっしゃ	hassha
処方	しょほう	shohou
納税	のうぜい	nouzei
探検	たんけん	tannkenn
担保	たんぽ	tannpo
創立	そうりつ	souritsu
延期	えんき	ennki
納付	のうふ	noufu
認可	にんか	ninnka
従って	したがって	shitagatte
短縮	たんしゅく	tannshuku
共済	きょうさい	kyousai
生存	せいぞん	seizonn
急激	きゅうげき	kyuugeki
出展	しゅってん	shuttenn
伝承	でんしょう	dennshou
実装	じっそう	jissou
座り	すわり|ずわり	suwari|zuwari
裏側	うらがわ	uragawa
日誌	にっし	nisshi
質疑	しつぎ	shitsugi
翌年	よくとし|よくねん	yokutoshi|yokunenn
幕末	ばくまつ	bakumatsu
高値	たかね	takane
閉める	しめる	shimeru
進展	しんてん	shinntenn
運賃	うんちん	unnchinn
神秘	しんぴ	shinnpi
作詞	さくし	sakushi
染まる	そまる	somaru
存続	そんぞく	sonnzoku
貧困	ひんこん	hinnkonn
異動	いどう	idou
専門医	せんもんい	sennmonni
熟成	じゅくせい	jukusei
精密	せいみつ	seimitsu
県庁	けんちょう	kenntyou
降りる	おりる	oriru
苦痛	くつう	kutsuu
乱れ	みだれ|みだれれ	midare|midarere
起源	きげん	kigenn
視力	しりょく	shiryoku
損傷	そんしょう	sonnshou
収支	しゅうし	shuushi
地裁	ちさい	chisai
推理	すいり	suiri
遺体	いたい	itai
警察官	けいさつかん	keisatsukann
担任	たんにん	tannninn
存じ	ぞんじ	zonnji
骨折	こっせつ|ほねお	kossetsu|honeo
改装	かいそう	kaisou
傷つく	きずつく	kizutsuku
全域	ぜんいき	zenniki
通訳	つうやく	tsuuyaku
小規模	しょうきぼ	shoukibo
批評	ひひょう	hihyou
預け	あづけ|あずけ	aduke|azuke
欲望	よくぼう	yokubou
遺伝	いでん	idenn
難易	なんい	nanni
野党	やとう	yatou
密度	みつど	mitsudo
便秘	べんぴ	bennpi
ご存じ	ごぞんじ	gozonnji
警官	けいかん	keikann
補修	ほしゅう	hoshuu
装う	よそう|よそおう	yosou|yosoou
沿岸	えんがん	enngann
寸前	すんぜん	sunnzenn
盛りだくさん	もりだくさん	moridakusann
部署	ぶしょ	busho
著名	ちょめい	tyomei
就く	つく|づく	tsuku|duku
洗面	せんめん	sennmenn
売れ筋	うれすじ	uresuji
負傷	ふしょう	fushou
秘める	ひめる	himeru
異議	いぎ	igi
皇室	こうしつ	koushitsu
内蔵	ないぞう|うちくら	naizou|uchikura
退院	たいいん	taiinn
兄貴	あにき	aniki
裁判官	さいばんかん	saibannkann
警報	けいほう	keihou
臓器	ぞうき	zouki
領収	りょうしゅう	ryoushuu
同窓会	どうそうかい	dousoukai
宅地	たくち	takuchi
遺言	ゆいごん|いげん|いごん	yuigonn|igenn|igonn
賃料	ちんりょう	chinnryou
高層	こうそう	kousou
枚数	まいすう	maisuu
一律	いちりつ	ichiritsu
内臓	ないぞう	naizou
陛下	へいか	heika
名詞	めいし	meishi
難民	なんみん	nannminn
寸法	すんぽう	sunnpou
納入	のうにゅう	nounyuu
放射	ほうしゃ	housha
蒸気	じょうき	jouki
民衆	みんしゅう	minnshuu
除外	じょがい	jogai
暮れ	くれ|ぐれ	kure|gure
異様	いよう	iyou
本尊	ほんぞん	honnzonn
値上げ	ねあげ	neage
貴様	きさま	kisama
流域	りゅういき	ryuuiki
値下げ	ねさげ	nesage
無難	ぶなん	bunann
音源	おんげん	onngenn
納品	のうひん	nouhinn
紅白	こうはく	kouhaku
後退	こうたい	koutai
今晩	こんばん	konnbann
過激	かげき	kageki
皇太子	こうたいし	koutaishi
馬券	ばけん	bakenn
朗読	ろうどく	roudoku
銭湯	せんとう	senntou
首脳	しゅのう	shunou
洗練	せんれん	sennrenn
暖か	あたたか|あったか	atataka|attaka
分担	ぶんたん	bunntann
論じる	ろんじる	ronnjiru
胃腸	いちょう	ityou
我ら	われら	warera
町並み	まちなみ	machinami
忘年会	ぼうねんかい	bounennkai
自律	じりつ	jiritsu
差異	さい	sai
毛穴	けあな	keana
転勤	てんきん	tennkinn
密か	ひそか|みそか	hisoka|misoka
創出	そうしゅつ	soushutsu
呼び出し	よびだし	yobidashi
貯蔵	ちょぞう	tyozou
女将	おかみ|じょしょう	okami|joshou
操る	あやつる	ayatsuru
頂点	ちょうてん	tyoutenn
優位	ゆうい	yuui
垂れ	たれ|しだれ|だれ	tare|shidare|dare
国宝	こくほう	kokuhou
理系	りけい	rikei
変革	へんかく	hennkaku
討つ	うつ	utsu
照射	しょうしゃ	shousha
拡散	かくさん	kakusann
宝くじ	たからくじ	takarakuji
整骨	せいこつ	seikotsu
産卵	さんらん	sannrann
存分	ぞんぶん	zonnbunn
大腸	だいちょう	daityou
階層	かいそう	kaisou
危うい	あやうい	ayaui
呼べる	よべる	yoberu
垂直	すいちょく	suityoku
論議	ろんぎ	ronngi
論争	ろんそう	ronnsou
痛む	いたむ	itamu
染色	せんしょく	sennshoku
翌朝	よくあさ|よくちょう	yokuasa|yokutyou
諸君	しょくん	shokunn
宝物	たからもの|ほうもつ	takaramono|houmotsu
傷害	しょうがい	shougai
立候補	りっこうほ	rikkouho
退治	たいじ	taiji
創刊	そうかん	soukann
欲求	よっきゅう	yokkyuu
補う	おぎなう|おぎのう	oginau|oginou
昨晩	さくばん	sakubann
貴女	きじょ|あなた	kijo|anata
洗顔	せんがん	senngann
主権	しゅけん	shukenn
成熟	せいじゅく	seijuku
幼虫	ようちゅう	youtyuu
磁気	じき	jiki
制裁	せいさい	seisai
観覧	かんらん	kannrann
特異	とくい	tokui
豆乳	とうにゅう	tounyuu
金券	きんけん	kinnkenn
容姿	ようし	youshi
所蔵	しょぞう	shozou
独裁	どくさい	dokusai
優待	ゆうたい	yuutai
洗脳	せんのう	sennnou
操縦	そうじゅう	soujuu
取り巻く	とりまく	torimaku
庁舎	ちょうしゃ	tyousha
異性	いせい	isei
字幕	じまく	jimaku
お宝	おたから	otakara
