綺麗	きれい|ぎれい	kirei|girei
お祓い	おはらい	oharai
掬う	すくう	sukuu
蠢く	うごめく	ugomeku
捌き	さばき	sabaki
ご馳走様	ごちそうさま	gochisousama
詫び	わび	wabi
貶す	けなす|へんす	kenasu|hennsu
噛みつく	かみつく	kamitsuku
頷ける	うなづける|うなずける	unadukeru|unazukeru
色褪せる	いろあせる	iroaseru
跨ぐ	またぐ	matagu
縋る	すがる	sugaru
啜る	すする	susuru
抉る	えぐる|くじる|こじる	eguru|kujiru|kojiru
騙る	かたる	kataru
訛り	なまり	namari
蝕む	むしばむ	mushibamu
捌く	さばく	sabaku
跨る	またがる	matagaru
坐る	すわる	suwaru
お爺さん	おじいさん	ojiisann
洩れる	もれる	moreru
祓い	はらい|ばらい	harai|barai
馴染める	なじめる	najimeru
拗ねる	すねる	suneru
噛める	かめる	kameru
穿つ	うがつ	ugatsu
嵌める	はめる|ぱめる	hameru|pameru
憐れむ	あわれむ	awaremu
お蔭	おかげ	okage
生き甲斐	いきがい	ikigai
齧る	かじる|かぶる	kajiru|kaburu
疼く	うずく	uzuku
湛える	たたえる	tataeru
丑の日	うしのひ	ushinohi
五月蝿い	うるさい	urusai
耽る	ふける	fukeru
出揃う	でそろう	desorou
怯む	ひるむ	hirumu
紐解く	ひもとく	himotoku
顰める	しかめる|ひそめる	shikameru|hisomeru
窪む	くぼむ	kubomu
曝す	さらす|ざらす	sarasu|zarasu
噛みしめる	かみしめる	kamishimeru
厭う	いとう	itou
騙り	かたり|がたり	katari|gatari
掠める	かすめる	kasumeru
啼く	なく	naku
悉く	ことごとく	kotogotoku
煌めく	きらめく	kirameku
呑み込む	のみこむ	nomikomu
呆け	ぼけ|ほけ|ほうけ	boke|hoke|houke
僻む	ひがむ	higamu
躓く	つまずく	tsumazuku
咳き込む	せきこむ	sekikomu
吾が	わが	waga
お蔭様	おかげさま	okagesama
不甲斐ない	ふがいない	fugainai
茅葺き	かやぶき	kayabuki
駈ける	かける|がける	kakeru|gakeru
軋む	きしむ	kishimu
引き摺る	ひきずる	hikizuru
鞭打つ	むちうつ	muchiutsu
播く	まく	maku
大儲け	おおもうけ	oomouke
見惚れる	みほれる|みとれる	mihoreru|mitoreru
ずぶ濡れ	ずぶぬれ	zubunure
纏まる	まとまる	matomaru
捲く	まく	maku
汲み上げる	くみあげる	kumiageru
蒲焼き	かばやき	kabayaki
些か	いささか	isasaka
轟く	とどろく	todoroku
幼馴染み	おさななじみ	osananajimi
惚れ込む	ほれこむ	horekomu
生け贄	いけにえ	ikenie
睨み付ける	にらみつける	niramitsukeru
引っ掻く	ひっかく	hikkaku
嘗て	かつて	katsute
晒せる	さらせる	saraseru
惚れ惚れ	ほれぼれ	horebore
噛み砕く	かみくだく	kamikudaku
呑める	のめる	nomeru
叩き付ける	たたきつける	tatakitsukeru
纏わる	まつわる|まとわる	matsuwaru|matowaru
首吊り	くびつり	kubitsuri
捏ねる	こねる|つくねる	koneru|tsukuneru
覗ける	のぞける	nozokeru
凌ぎ	しのぎ	shinogi
ぐい呑	ぐいのみ	guinomi
洩らす	もらす	morasu
蒙る	こうむる	koumuru
竦める	すくめる	sukumeru
溜まり場	たまりば	tamariba
攫う	さらう|さろう	sarau|sarou
お釈迦さま	おしゃかさま	oshakasama
跪く	ひざまずく	hizamazuku
囀る	さえずる	saezuru
忽然と	こつぜんと|こつねんと	kotsuzennto|kotsunennto
舵取り	かじとり	kajitori
誂える	あつらえる	atsuraeru
痺れる	しびれる	shibireru
湯呑み	ゆのみ	yunomi
廻す	まわす	mawasu
掠る	かする|かすめる	kasuru|kasumeru
侘び	わび	wabi
不揃い	ふぞろい	fuzoroi
掻き分ける	かきわける	kakiwakeru
眩む	くらむ	kuramu
苔むす	こけむす	kokemusu
撞く	つく|づく	tsuku|duku
びしょ濡れ	びしょぬれ	bishonure
三つ巴	みつどもえ	mitsudomoe
囃す	はやす	hayasu
茅の輪	ちのわ	chinowa
宥める	なだめる	nadameru
掻き立てる	かきたてる	kakitateru
揉め事	もめごと	momegoto
掴まる	つかまる|づかまる	tsukamaru|dukamaru
窺える	うかがえる	ukagaeru
撚る	よる|ひねる|ねじる	yoru|hineru|nejiru
自惚れる	うぬぼれる	unuboreru
祓う	はらう|はろう	harau|harou
濡れ場	ぬれば	nureba
垢抜け	あかぬけ	akanuke
搗く	つく|づく	tsuku|duku
拵え	こしらえ|こさえ|ごしらえ	koshirae|kosae|goshirae
訛る	なまる	namaru
喋れる	しゃべれる	shabereru
濡れ衣	ぬれぎぬ|ぬれごろも	nureginu|nuregoromo
嘗める	なめる	nameru
四つん這い	よつんばい	yotsunnbai
涌く	わく	waku
捩る	すじる|ねじる|もじる|よじる	sujiru|nejiru|mojiru|yojiru
卯の花	うのはな	unohana
鷲掴み	わしづかみ	washidukami
斯く	かく	kaku
漉く	すく|ずく	suku|zuku
贖う	あがなう|あがのう	aganau|aganou
諌める	いさめる	isameru
翔ぶ	とぶ	tobu
漲る	みなぎる	minagiru
嬲る	なぶる	naburu
葺き替え	ふきかえ	fukikae
火の見櫓	ひのみやぐら	hinomiyagura
咳払い	せきばらい	sekibarai
馴れ馴れしい	なれなれしい	narenareshii
迸る	ほとばしる|とばしる	hotobashiru|tobashiru
足掻く	あがく	agaku
嗜む	たしなむ	tashinamu
乃ち	すなわち	sunawachi
彷徨く	うろつく	urotsuku
齎す	もたらす	motarasu
冴える	さえる	saeru
袋叩き	ふくろだたき	fukurodataki
お神輿	おみこし	omikoshi
仄か	ほのか|ほのめか	honoka|honomeka
坐す	ざす|まします|います	zasu|mashimasu|imasu
夥しい	おびただしい	obitadashii
涸れる	かれる|がれる	kareru|gareru
弛む	たるむ|たゆむ|だるむ|ゆるむ	tarumu|tayumu|darumu|yurumu
梳く	すく	suku
詫びる	わびる	wabiru
隠れ蓑	かくれみの	kakuremino
娶る	めとる	metoru
忽ち	たちまち	tachimachi
撥ね	はね|ぱね	hane|pane
燻る	いぶる|くすぶる|ふすぶる|くゆる	iburu|kusuburu|fusuburu|kuyuru
玉の輿	たまのこし	tamanokoshi
憐れ	あわれ	aware
撒き餌	まきえ|まきえさ	makie|makiesa
訝しい	いぶかしい	ibukashii
奢り	おごり	ogori
燻す	いぶす|くゆらす	ibusu|kuyurasu
釣り竿	つりざお	tsurizao
臥す	ふす	fusu
鞍替え	くらがえ	kuragae
呆気ない	あっけない	akkenai
お揃いで	おそろいで	osoroide
翔ける	かける	kakeru
訝しげ	いぶかしげ	ibukashige
曰う	のたまう|のたもう	notamau|notamou
酉の市	とりのいち	torinoichi
灼く	やく	yaku
伊勢参り	いせまいり	isemairi
惚ける	とぼける|ほうける|ぼける|ほける	tobokeru|houkeru|bokeru|hokeru
孵る	かえる	kaeru
讀む	よむ	yomu
凪ぐ	なぐ	nagu
靡く	なびく	nabiku
手漉き	てすき	tesuki
翔る	かける	kakeru
轟かせる	とどろかせる	todorokaseru
屠る	ほふる|はふる	hofuru|hafuru
手馴れる	てなれる	tenareru
吊し	つるし	tsurushi
咎める	とがめる	togameru
謳い文句	うたいもんく	utaimonnku
鄙びる	ひなびる	hinabiru
翳り	かげり	kageri
蔓延る	はびこる	habikoru
頗る	すこぶる	sukoburu
牽く	ひく	hiku
睨み合う	にらみあう|にらみおう	niramiau|niramiou
挽き肉	ひきにく	hikiniku
粕漬け	かすづけ	kasuduke
賑わしい	にぎわしい	nigiwashii
掻き回す	かきまわす	kakimawasu
蚤の市	のみのいち	nominoichi
丸呑み	まるのみ	marunomi
漉す	こす|ごす	kosu|gosu
胡麻和え	ごまあえ	gomaae
蹲る	うずくまる|つくばる	uzukumaru|tsukubaru
凭れる	もたれる	motareru
喧しい	やかましい|かまびすしい	yakamashii|kamabisushii
驕り	おごり	ogori
賑わせる	にぎわせる	nigiwaseru
蕩ける	とろける	torokeru
毅然と	きぜんと	kizennto
夜這い	よばい	yobai
銜える	くわえる	kuwaeru
這いずる	はいずる	haizuru
謂れ	いわれ	iware
吊上げる	つりあげる|つるしあげる	tsuriageru|tsurushiageru
諍い	いさかい	isakai
睨める	ねめる|にらめる	nemeru|nirameru
腑抜け	ふぬけ	funuke
譬え	たとえ	tatoe
倦む	あぐむ|うむ	agumu|umu
馴らす	ならす	narasu
引き攣る	ひきつる	hikitsuru
這入る	はいいる|はいる	haiiru|hairu
箔押し	はくおし	hakuoshi
毟る	むしる	mushiru
淀む	よどむ	yodomu
此の世	このよ	konoyo
揉み合う	もみあう|もみおう	momiau|momiou
淀み	よどみ	yodomi
膿む	うむ	umu
歯軋り	はぎしり	hagishiri
嗜み	たしなみ|だしなみ	tashinami|dashinami
滾る	たぎる	tagiru
冴え渡る	さえわたる	saewataru
薙ぐ	なぐ	nagu
侘しい	わびしい	wabishii
瓦葺き	かわらぶき	kawarabuki
這い出す	はいだす	haidasu
賽の河原	さいのかわら	sainokawara
糠漬け	ぬかづけ	nukaduke
吹き溜まり	ふきだまり	fukidamari
掃き溜め	はきだめ	hakidame
お伽	おとぎ	otogi
褪せる	あせる	aseru
揉み消す	もみけす	momikesu
辻斬り	つじぎり	tsujigiri
濾す	こす	kosu
溜る	たまる	tamaru
嘯く	うそぶく	usobuku
恰も	あたかも|あだかも	atakamo|adakamo
逆撫で	さかなで	sakanade
嘘っぱち	うそっぱち	usoppachi
蝉しぐれ	せみしぐれ	semishigure
譬えば	たとえば	tatoeba
噤む	つぐむ	tsugumu
吊す	つるす	tsurusu
味噌和え	みそあえ	misoae
歯痒い	はがゆい	hagayui
薙ぎ払う	なぎはらう|なぎはろう	nagiharau|nagiharou
捌け	はけ|さばけ	hake|sabake
躱す	かわす	kawasu
撒ける	まける	makeru
澱む	よどむ|おどむ	yodomu|odomu
翳す	かざす	kazasu
木っ端微塵	こっぱみじん	koppamijinn
買い叩く	かいたたく	kaitataku
哭く	なく	naku
仄めかす	ほのめかす	honomekasu
爛れ	ただれ|ただれれ	tadare|tadarere
譬へば	たとへば	tatoheba
驕る	おごる	ogoru
坐り	すわり|ずわり	suwari|zuwari
身悶え	みもだえ	mimodae
丑三つ	うしみつ	ushimitsu
喰える	くえる	kueru
竦む	すくむ	sukumu
摺る	する|ずる	suru|zuru
看做す	みなす	minasu
耳掻き	みみかき	mimikaki
肥溜め	こえだめ	koedame
ご馳走さま	ごちそうさま	gochisousama
捺す	おす	osu
嵩む	かさむ	kasamu
然し乍ら	しかしながら	shikashinagara
噛み殺す	かみころす	kamikorosu
堰く	せく	seku
酒呑み	さけのみ	sakenomi
凌げる	しのげる	shinogeru
振り撒く	ふりまく	furimaku
詫び状	わびじょう	wabijou
已に	すでに	sudeni
生け簀	いけす	ikesu
水溜まり	みずたまり	mizutamari
