自分	じぶん	jibunn
少数	しょうすう	shousuu
通行	つうこう	tsuukou
同行	どうこう|どうぎょう	doukou|dougyou
地形	ちけい|じぎょう	chikei|jigyou
南北	なんぼく	nannboku
買い上げ	かいあげ	kaiage
目線	めせん	mesenn
数え	かぞえ	kazoe
歩道	ほどう	hodou
売れる	うれる	ureru
来日	らいにち	rainichi
同日	どうじつ	doujitsu
気楽	きらく	kiraku
名作	めいさく	meisaku
野生	やせい	yasei
作れる	つくれる	tsukureru
町長	ちょうちょう	tyoutyou
直ぐ	すぐ	sugu
話し合い	はなしあい	hanashiai
売り上げ	うりあげ	uriage
東西	とうざい|ひんがしにし	touzai|hinngashinishi
友だち	ともだち	tomodachi
一同	いちどう	ichidou
当地	とうち	touchi
引き出し	ひきだし	hikidashi
食う	くう	kuu
通用	つうよう	tsuuyou
間近	まじか	majika
出番	でばん	debann
画家	がか	gaka
引き上げ	ひきあげ	hikiage
会合	かいごう	kaigou
後方	こうほう|のちかた	kouhou|nochikata
原点	げんてん	genntenn
通う	かよう|がよう	kayou|gayou
人前	ひとまえ|にんまえ	hitomae|ninnmae
親友	しんゆう	shinnyuu
売り切れ	うりきれ	urikire
近づく	ちかづく	chikaduku
黄色い	きいろい	kiiroi
青少年	せいしょうねん	seishounenn
出前	でまえ	demae
気合	きあい	kiai
行なう	おこなう	okonau
同年	どうねん	dounenn
公正	こうせい	kousei
新書	しんしょ	shinnsho
三角	さんかく	sannkaku
通い	かよい|がよい	kayoi|gayoi
光る	ひかる	hikaru
姉ちゃん	ねえちゃん	neetyann
牛肉	ぎゅうにく	gyuuniku
算出	さんしゅつ	sannshutsu
広大	こうだい	koudai
原子	げんし	gennshi
当方	とうほう	touhou
前方	ぜんぽう|まえかた	zennpou|maekata
強引	ごういん	gouinn
目当て	めあて	meate
馬場	うまば|ばば	umaba|baba
本場	ほんば	honnba
年数	ねんすう	nennsuu
外見	がいけん|そとみ	gaikenn|sotomi
直ちに	ただちに	tadachini
万が一	まんがいち	manngaichi
新車	しんしゃ	shinnsha
止まり	とまり|とどまり|どまり	tomari|todomari|domari
休止	きゅうし	kyuushi
前作	ぜんさく	zennsaku
直す	なおす	naosu
合間	あいま	aima
一行	いっこう|ひとくだり	ikkou|hitokudari
歩み	あゆみ	ayumi
語学	ごがく	gogaku
会える	あえる	aeru
上回る	うわまわる	uwamawaru
理科	りか	rika
心地よい	ここちよい	kokochiyoi
組み立て	くみたて	kumitate
切れる	きれる	kireru
出来上がり	できあがり	dekiagari
計上	けいじょう	keijou
元年	がんねん	gannnenn
知らせ	しらせ	shirase
月曜	げつよう	getsuyou
方言	ほうげん	hougenn
色合い	いろあい	iroai
通じる	つうじる	tsuujiru
野田	のだ	noda
歌声	うたごえ	utagoe
古本	ふるほん	furuhonn
外人	がいじん	gaijinn
カ国	かこく	kakoku
百科	ひゃっか	hyakka
止まる	とまる|とどまる	tomaru|todomaru
音色	ねいろ|おんしょく	neiro|onnshoku
西口	にしぐち	nishiguchi
立ち読み	たちよみ	tachiyomi
車線	しゃせん	shasenn
切手	きって|ぎって	kitte|gitte
長女	ちょうじょ|おさめ	tyoujo|osame
本家	ほんけ	honnke
教科	きょうか	kyouka
大国	たいこく	taikoku
大工	だいく|だいこう	daiku|daikou
母子	ぼし|ははこ	boshi|hahako
高木	こうぼく	kouboku
大声	おおごえ|たいせい	oogoe|taisei
番地	ばんち	bannchi
生体	せいたい	seitai
目黒	めぐろ	meguro
売り場	うりば	uriba
曜日	ようび	youbi
野外	やがい	yagai
小麦	こむぎ	komugi
北上	ほくじょう	hokujou
春日	しゅんじつ	shunnjitsu
太い	ふとい|ぶとい	futoi|butoi
金曜	きんよう	kinnyou
人体	じんたい|じんてい|にんてい	jinntai|jinntei|ninntei
白鳥	はくちょう|しらとり	hakutyou|shiratori
金魚	きんぎょ	kinngyo
通話	つうわ	tsuuwa
回す	まわす	mawasu
山道	さんどう|やまみち	sanndou|yamamichi
社名	しゃめい	shamei
海水	かいすい	kaisui
家計	かけい	kakei
名言	めいげん	meigenn
一角	いっかく|ひとかど	ikkaku|hitokado
野鳥	やちょう	yatyou
自力	じりき	jiriki
広げる	ひろげる	hirogeru
長文	ちょうぶん	tyoubunn
同市	どうし	doushi
国内外	こくないがい	kokunaigai
声明	せいめい|しょうみょう	seimei|shoumyou
北東	ほくとう	hokutou
番手	ばんて	bannte
上京	じょうきょう	joukyou
引け	ひけ	hike
車体	しゃたい	shatai
用地	ようち	youchi
南海	なんかい	nannkai
明細	めいさい	meisai
外食	がいしょく	gaishoku
内外	ないがい|うちそと	naigai|uchisoto
野口	のぐち	noguchi
毎朝	まいあさ	maiasa
南西	なんせい	nannsei
里山	さとやま	satoyama
入国	にゅうこく	nyuukoku
自国	じこく	jikoku
親方	おやかた	oyakata
台数	だいすう	daisuu
夜明け	よあけ	yoake
道中	どうちゅう	doutyuu
白馬	しろうま|はくば	shirouma|hakuba
