地域	ちいき	chiiki
呼吸法	こきゅうほう	kokyuuhou
革命的	かくめいてき	kakumeiteki
経済性	けいざいせい	keizaisei
担当相	たんとうしょう	tanntoushou
参拝者	さんぱいしゃ	sannpaisha
経済界	けいざいかい	keizaikai
拡張子	かくちょうし	kakuchoushi
死亡者	しぼうしゃ	shibousha
幼少期	ようしょうき	youshouki
大納言	だいなごん	dainagonn
針葉樹	しんようじゅ	shinnyouju
横断幕	おうだんまく	oudannmaku
背景色	はいけいしょく	haikeishoku
簡素化	かんそか	kannsoka
負担額	ふたんがく	futanngaku
幼児期	ようじき	youjiki
回数券	かいすうけん	kaisuukenn
自衛権	じえいけん	jieikenn
批評家	ひひょうか	hihyouka
担当医	たんとうい	tanntoui
水資源	みずしげん	mizushigenn
深層水	しんそうすい	shinnsousui
降水量	こうすいりょう	kousuiryou
保守派	ほしゅは	hoshuha
展示物	てんじぶつ	tennjibutsu
用心棒	ようじんぼう	youjinnbou
同盟国	どうめいこく	doumeikoku
商標権	しょうひょうけん	shouhyoukenn
技術系	ぎじゅつけい	gijutsukei
